addr,vote_option,myBank
cosmos1grgelyng2v6v3t8z87wu3sxgt9m5s03xvslewd,VOTE_OPTION_NO,111223.576405
cosmos1xym2qygmr9vanpa0m7ndk3n0qxgey3ff8vscct,VOTE_OPTION_ABSTAIN,51107.284235
cosmos15urq2dtp9qce4fyc85m6upwm9xul3049um7trd,VOTE_OPTION_NO,50009.502734
cosmos130mdu9a0etmeuw52qfxk73pn0ga6gawkryh2z6,VOTE_OPTION_NO_WITH_VETO,32305.069503
cosmos1ecsuj0q572jr0dhu29q9njtnmw03hyu7ccc0d7,VOTE_OPTION_YES,18541.651423
cosmos1uutuwrwt3z2a5z8z3uasml3rftlpmu25cufp5f,VOTE_OPTION_NO,12857.502413
cosmos196ax4vc0lwpxndu9dyhvca7jhxp70rmcfhxsrt,VOTE_OPTION_NO,9981.93118
cosmos1qanwkm62vetdgan6kpyq7n3kufrwce2s27kuks,VOTE_OPTION_NO,8748.222266
cosmos1e0d0daqr34t7kgdumgrlrwf7xye9alqfj2nsq8,VOTE_OPTION_YES,7608.452557
cosmos134wtgq2wugr5vjv09gnw8rk4rq5cgue983dcum,VOTE_OPTION_NO,2953.838457
cosmos1hzdne7xvvs8unp497t6x0g32lpz6m5mqk9zq7d,VOTE_OPTION_NO,2789.746928
cosmos1059vss4rq2sqag52q47pszgdagdpasktu44zq6,VOTE_OPTION_YES,2709.867238
cosmos1njusvz6kcg2844cpuetke5yghjrp57uyz0vcmg,VOTE_OPTION_NO,2699.665447
cosmos14eflcqm6rzlvauwdvw29gg2vqjmddn09e9pavk,VOTE_OPTION_NO,2581.92125
cosmos1ax32rmtyraxnf76w3tcx6pmt7psdfgfdrmkpnd,VOTE_OPTION_YES,1965.725208
cosmos18vd445afteree2p8xk0s2uplehp87j0ucmxkxq,VOTE_OPTION_YES,1842.761478
cosmos1xekdaycf5zhfhxefpxkfkwptcz0jyxhuld2hdf,VOTE_OPTION_YES,1701.049149
cosmos14jlpmqquh0gste6nzf4dn43kc8h50l6f7jwc9r,VOTE_OPTION_NO,1654.687418
