addr,vote_option,myStake
cosmos1grgelyng2v6v3t8z87wu3sxgt9m5s03xvslewd,VOTE_OPTION_NO_WITH_VETO,1190007.000699
cosmos1qs00cyjkpjg79y2gf6s54phzhlncm4s9zv5t2w,VOTE_OPTION_ABSTAIN,401224.952104
cosmos13pny9wkauex4jqqlzxmwrgp2l6spcs27n2v8gz,VOTE_OPTION_NO,270000.078818
cosmos1la4t7jee73a4zqg9ccs2acjt462qjs5xkls4n7,VOTE_OPTION_NO,253428.886978
cosmos1gtdxj6hay8xdjvvyh8cpk2jaw2eazpz3fqrvq7,VOTE_OPTION_ABSTAIN,247692.461669
cosmos1f95dmun7ldnyzymrja6qjy063nfug0kzsxdulu,VOTE_OPTION_ABSTAIN,173000.241203
cosmos1jvykup7tdqs73qpt68xwylunst873nuxkkfpjq,VOTE_OPTION_NO,153111.318158
cosmos1yv8x6z8h7n0asawdpks9meccel4uz0hrhudqf7,VOTE_OPTION_YES,133830.149779
cosmos1gk6py8fukt8dnaad00atemjqjlhjlwv9rgw6qz,VOTE_OPTION_ABSTAIN,128117.817854
cosmos127ax4kl8kfrjtl20gyvlumqqsxfp66hj8fqk4v,VOTE_OPTION_YES,100000.0
cosmos1utj9vnja2nma8mkgjmtwee0vgm6g9ejewznxrr,VOTE_OPTION_ABSTAIN,91723.547753
cosmos15ma0kvf0pw4gtaeku8sas5nt7qvw8063cpggyq,VOTE_OPTION_YES,87141.8
cosmos1vg5x55g9s0d3lhz2dspuup8d5xwftmyys7gswv,VOTE_OPTION_NO,84184.22964800001
cosmos1g5435cjhlm4s2nlmwln6ess9x4lc4qgdfep2l6,VOTE_OPTION_NO_WITH_VETO,71123.475026
cosmos1n74enedgvq5p9nwazlhm3w2kvaemlsf4setkdr,VOTE_OPTION_NO_WITH_VETO,67687.552522
cosmos159w444056phpcnfcfxstrtkezcymzkr64q070e,VOTE_OPTION_YES,65253.688841999996
cosmos1kgddca7qj96z0qcxr2c45z73cfl0c75pma99x2,VOTE_OPTION_NO,63529.35293
cosmos17pz7rlzlgsne9luslvxpchn5m3p5fgrqefg08x,VOTE_OPTION_NO,60498.953232
cosmos1lu2qtcqq4lva2ycqgumtjzxpk7gymj2e046qmu,VOTE_OPTION_NO,60004.519530000005
cosmos10xjmyvkaz4v7n8mu498n54hvrkgzuyeafhtrtq,VOTE_OPTION_ABSTAIN,59929.613095
cosmos1hlxsavlny5ax6uwggr49qaw57cxnhcldxc3fg2,VOTE_OPTION_NO,57765.721629
cosmos1d25uxlhdynu6hdkl4xelwxn7jz08u5fa5hleut,VOTE_OPTION_NO,57618.034403
cosmos1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4ladl29,VOTE_OPTION_ABSTAIN,54221.357891
cosmos1ssm0d433seakyak8kcf93yefhknjleed4psy4g,VOTE_OPTION_YES,53705.370534
cosmos13pap7zxd294lywtaxdftr0lhg7fjfd3ew4022w,VOTE_OPTION_YES,52376.762967999995
cosmos1q4udznx2q2curhmt68kc3pa6ne9zyptl4ydzqd,VOTE_OPTION_NO,52240.292149
cosmos1ry59aft0zlf33278es0mn2lazkfjvejtzf3neq,VOTE_OPTION_NO,52235.051395
cosmos1rdg7ec7a8men3dvxnh5afkpdxcevqkrk5rh4ke,VOTE_OPTION_NO,52029.088734
cosmos1s4ykz0q9et2ahxyyy8nmuhn8ql4wjy7sym6lww,VOTE_OPTION_NO,50377.235723
cosmos1lsq36skm8gr326pjm3eqwm40w7lf7wkxd84gg7,VOTE_OPTION_NO_WITH_VETO,50100.0
cosmos1570zgpm0dx8965pk9rrmjv2tllfxmnrda0jkuk,VOTE_OPTION_NO,50000.500037
cosmos1lgur3yej7qtr4erlqzxavdpeqqau9q0h40rmeh,VOTE_OPTION_ABSTAIN,50000.099999
cosmos1qfucy7548g479yzuf5j3qkge20az6t4qmqumrz,VOTE_OPTION_NO,50000.000002
cosmos15urq2dtp9qce4fyc85m6upwm9xul3049um7trd,VOTE_OPTION_NO,47507.999999
cosmos138897rghcgukk8vumm9u2z7q950mwksa9ye9r0,VOTE_OPTION_NO,47115.0
cosmos1ajhkz8038d0z3hspgmxad2tsezkchmztje0dr6,VOTE_OPTION_ABSTAIN,45183.879564999996
cosmos14wgqjusg3w540m4m6rd3fumpwls7j24v7a72kl,VOTE_OPTION_NO_WITH_VETO,44581.661857
cosmos1xyxtl8dzkjp9mhnk4hpf8rj9ad39xnmc6zexhc,VOTE_OPTION_ABSTAIN,42330.75
cosmos1dyatkrjpdmd6w2e0hj84amqply5svjkn9nsdd8,VOTE_OPTION_NO,42001.000087
cosmos1hyvzj38nw0v6yv4ds6y9p5m7zwzlfff87pqt0v,VOTE_OPTION_YES,41590.0
cosmos1gnmwj6z3a95p5ncp7n24rwq74lpp9xjnpjult0,VOTE_OPTION_ABSTAIN,40592.759099
cosmos1l3c4jstap9hr6sym54p8peeswknf89dfc402rv,VOTE_OPTION_NO,40436.188517
cosmos180ua4mvj4serkttaas4skc3fcucpd7h38szfk7,VOTE_OPTION_NO,40004.000057
cosmos1hl5hpd2zfqadfeglfvu6vf4yh7xw3zvpw7kkgf,VOTE_OPTION_NO,39002.400481000004
cosmos1j5n75yls5aun28eu02w2hdthmtx29pvesya0gh,VOTE_OPTION_ABSTAIN,38780.840383
cosmos1hw6eadrrvmzt322y7wj8t6px9gnanjcckc75vt,VOTE_OPTION_NO_WITH_VETO,37302.807027
cosmos1fp37ep4m3eaa887zxt5z6wfg8nrm2td3we9w9z,VOTE_OPTION_NO,37158.741123
cosmos15m0ecmh7mplgqjlwmdxqyd56482zd47l7qtp2y,VOTE_OPTION_ABSTAIN,36986.6106
cosmos1n9p5xmqwna44tk84z7fang39lypxzu724ytkx4,VOTE_OPTION_ABSTAIN,36474.552525
cosmos1ptyzewnns2kn37ewtmv6ppsvhdnmeapvwavsg8,VOTE_OPTION_ABSTAIN,36000.0
cosmos1wdw0vc8ckf0x2m495v4ffxpdejvssfw38wnk0a,VOTE_OPTION_NO,36000.0
cosmos1vt049pwn9nlcszj5ttq7ape3nw48tw9vu5ejgd,VOTE_OPTION_YES,35644.401863
cosmos19g99m6g7ceg89f396dkxza82r3az54mslx4q24,VOTE_OPTION_ABSTAIN,32741.19452
cosmos1ldnelx4c6hev2jncrfqpp83x703ng7zz4wj8e2,VOTE_OPTION_NO,30668.063406
cosmos17zp8dxwj40kw0998gv6x4z669cl8dsj350m6mk,VOTE_OPTION_ABSTAIN,30090.584892
cosmos1nhfpuvxupt544sjxrzwmjdk0un9p8385rryw2q,VOTE_OPTION_NO,30001.250116000003
cosmos1sa54sdl5nrr6p5d0ksrceapur7f9awf2s6jjhk,VOTE_OPTION_ABSTAIN,28202.818662
cosmos16e32x4jzdqkjle4vetvx0pyjs6vpaaut6g9sya,VOTE_OPTION_NO,28161.003871999998
cosmos18888m4mej8tfwedl4t4evcen5ap5f3d3y500ut,VOTE_OPTION_NO_WITH_VETO,27974.010143
cosmos17mggn4znyeyg25wd7498qxl7r2jhgue8ep585n,VOTE_OPTION_ABSTAIN,27571.572897
